id,name,id
33,Blue Tri Block,33
233,Blue Tri Block AM2133_024APv1_colorway5,233
254,Blue TriBlock,254
264,Bold Floral AM2133037APv1 c6,264
34,Bright White,34
232,Brook Green (Pantone 13-6009 TCX Brook Green),232
273,Brown,273
128,BURNT BRINK,128
35,Burnt Olive,35
36,BUTTERFLIES AM2233_029APv3_colorway19,36
37,Cabernet,37
266,Cameo Blue,266
263,cashmere rose,263
38,casual black,38
39,casual black  w mktg,39
40,casual black w marketing,40
285,Cationic Black Ombre,285
41,Cationic Grey,41
117,CAYENNE,117
125,CAYENNEE,125
271,CHAIN LINK RETRO GEO am2133 039apv1 c3,271
42,Chateau Gray,42
176,CHICBL STRFL,176
43,Cloudy Beach Wash Black to White,43
44,Cobblestone,44
115,COLORBLOCK,115
158,Compass Red,158
218,COMPASS RED OMBRE,218
203,Cool Sharks,203
122,CREAM,122
270,CROSS RETRO GEO am2133 038apv1 c11,270
265,Daisy Water Color AM2133036APv1 c4,265
120,DARK BLACK,120
45,DEAUVILLE MAUVE,45
187,Deep Sea Navy,187
220,Deep Sea Navy (HME),220
204,Deep Sea Navy Burst Tie Dye,204
189,Deep Sea Navy Diamond Geo,189
211,Deep Sea Navy Dinosaurs,211
205,Deep Sea Navy Game Controllers,205
167,Deep sea Navy palm print,167
168,Deep sea navy tie dye palm,168
206,Deep Sea Navy Tie Dye Sharks,206
171,Deep sea Navy Tropic palm,171
195,Deep Sea Navy Turquoise Geo ,195
219,DEEP SEA NAVY/GINGHAM MIX,219
119,DEEP TAUPE,119
46,Desert Sage,46
47,DRAGONFLIES AM2233_026APv1c5,47
48,DUSTY ROSE,48
146,EBL ELECTRIC BLIE,146
177,ELECBL TROP,177
221,Electric blue -Nylon (EBL),221
217,Electric Blue Crab Camo,217
213,Electric Blue Funny Sharks,213
199,Electric Blue Multi Swirl ,199
222,Electric Yellow-Neon (I2V),222
114,ESG10171 - BEYOND INFINITY - XS05 - XINSHENG - DIGITAL,114
111,ESG10172 - GEO-RIFIC - XS05 - XINSHENG - DIGITAL,111
201,Flame Diagonal Tie Dye,201
207,Flame Jellyfish,207
49,gary olive,49
50,gary olive  w mktg,50
51,gary olive w marketing,51
52,Goat,52
276,Grape Leaf,276
7,Grapeleaf,7
53,gray gatsby,53
54,GREEN FLORAL AM2233_024APv1_colorway3,54
223,Green Gecko-Neon Nylon (I2W),223
55,GREEN PIPING PANTONE 18-5410 TCX SILVER PINE,55
56,Grey,56
234,Grey Logo (pantone 18-0201 TCX Castlerock),234
57,GREY W TIPPING,57
274,Grey/Black Block,274
237,HDF2132_002 Color Check Black Tan Cream,237
239,HDF2132_003 Balance Square Plaid Navy,239
238,HDF2132_004 Multi Color Ombre Black to Neutral,238
194,HERITAGE CB - Electric blue CB,194
131,"HME
DEEP SEA NAVY",131
134,HME DEEP SEA NAVY,134
188,Hot Pink,188
139,HPI HOT PINK,139
182,ISLAND TURQUOISE,182
58,Ivy Green,58
59,"Java, Tuffet",59
60,Jester Red,60
61,"Jester Red, Black Beauty",61
62,"June Bug, Bright White",62
132,"K7E
Deep Sea Polka
Dot PRINT",132
135,K7E Deep Sea Polka Dot PRINT,135
147,KE5 VIOLET ROSE,147
183,KHAKI,183
229,Lavender,229
178,LEMON LIME,178
63,LEMONS AM2133_025APv2_colorway4,63
169,Light Blue Radiance Crabs,169
64,LIGHT BLUE W TIPPING,64
230,Light Grey Oyster Mushroom,230
65,LT BLUE GEO AM2233_035APv1_colorway34,65
66,METEORITE,66
12,MIXED,12
153,MULTI,153
67,MULTI FLORAL AMP04_229APv2c6,67
208,Multi Mixed Stripe,208
225,name_fg_color_id,225
155,NAUTICAL FLORAL,155
68,Navy,68
159,Navy / Turq multi stripe,159
10,Navy Blazer,10
242,Navy Floral AM2133_018APv1_colorway17,242
69,Navy Floral AM2233_025APv1c21,69
70,NAVY FLORAL AMP05_320APv3_colo,70
71,NAVY FLORAL AMP05_320APv3_colorway11,71
72,NAVY PANTONE 19-3922 TCX SKY CAPTAIN,72
73,Navy Pipe 3922 TCX Sky Captain,73
249,Navy Stripe AM2133_026APv1_COLORWAY1,249
74,NAVY STRIPES AM2233_003APv4c6,74
231,Navy Wash AM2133 024APV3 034,231
160,Navy-yellow multi stripe,160
227,"Navy, White Block",227
179,NVIV FONDSTR,179
279,Oatmeal and Goat Colorblock,279
75,Olive,75
281,Olive per header,281
76,olive per sample,76
6,Opal Grey,6
190,Orange-Cobalt Stripe,190
77,Otter,77
184,PAPAYA Orange,184
196,Papaya Orange Space Dye ,196
180,PAPAYA ORG,180
78,phantom,78
79,phantom w mktg,79
127,PINK CARNATION,127
129,PLH RED,129
80,Portabella,80
246,PRIDE,246
209,PRIMO PINK TROPICAL,209
123,PROVENCE,123
81,Pure Cashmere,81
82,Quiet Grey and Bright White Co,82
278,Quiet Grey and Bright White Colorblock,278
252,Quiet Harbor,252
161,Radiant Navy,161
1,Red,1
240,Red Geo AM2133_032APv1_colorway15,240
83,Red Wash MAROON 18-1619 TCX,83
5,Rose Brown,5
173,Royal cobalt Seagull check,173
235,Rust Wash AM2133_024APv1_colorway25,235
84,Sage Floral AM2233_024APv_colorway3,84
85,Sage Pomegranate FLORAL PRINT AM2133_042APv1c,85
287,Sage Pomegranate FLORAL PRINT AM2133_042APv1c4,287
268,Sandshell,268
215,seersucker,215
86,Shadow Pantone 17-6206 TCX SHADOW,86
126,SHARP GREEN,126
87,Shell AM2233_023APv1c,87
193,SIDE PANEL CB - Deep sea navy CB ,193
88,sky cap  w mktg,88
89,sky captain,89
90,SKY CAPTAIN 19-3922 TCX,90
241,Sky Captain Pantone19-3922 TCX SKY CAPTAIN,241
91,SKY CAPTAIN PIPING PANTONE 19-3922 TCX SKY CA,91
288,SKY CAPTAIN PIPING PANTONE 19-3922 TCX SKY CAPTAIN,288
92,SKY CAPTAIN PIPING Pantone 19-3922 TCX Sky Cp,92
109,SKY CAPTAIN PIPING Pantone 19-3922 TCX Sky Cpatain,109
93,Smoked Pearl,93
170,Soft blue Haze Sharks,170
110,SOLID BLACK,110
116,SOLID BLACK & SOLID PINK,116
113,SOLID DRAGON FLY BLUE,113
112,SOLID DRAGONFLY BLUE,112
245,STRAW,245
250,SUNBAKED,250
286,TAN PLAID,286
94,Tan Stripe AM2233_021APv3c4,94
185,Teal Shadow,185
95,THYME GREEN,95
162,Tie Dye color block,162
96,TOADSTOOL,96
97,TOASTED COCONUT,97
98,Tradewinds,98
272,Traditional Camo Light Whites,272
255,TREND LOGO SKY CAPTAIN,255
99,Tuffet,99
136,TUR TURQUOISE,136
181,TURBAL TL TD,181
210,TURQUOIS GATOR FLOATIES,210
202,Turquoise Baltic Teal Tie Dye ,202
174,Turquoise Multi graphic floral,174
191,Turquoise-Blue Stripe,191
156,TWO TONE PALM,156
138,UKJ BLACK WHITE GINGHAM PRINT,138
197,Ultimate Gray Camo ,197
192,Ultimate Gray Diamond Geo,192
163,Vibrant Blue,163
100,Victoria Blue Full Zip,100
101,Vintage Indigo,101
121,WARM STONE,121
140,WH0 BLACK HAVANA FLORAL,140
275,White,275
102,WHITE AND TAN SEERSUCKER AM2233_021APv3c4,102
236,White Pepper (pantone 15-1307 TCX white pepper),236
243,White Red Black Block,243
8,White with Black Fur,8
175,White-pink striped palm,175
103,WINDCHIME Pantone 14-4002,103
280,Wine Tasting,280
104,Winetasting,104
4,Yellow,4
164,Yellow-Navy color block stripe,164
